MAGIC	WIZARDS
FNT_FontColorSelect_0or2	Set_Special_Colors_On
FNT_FontColorSelect	Set_Color_Set
UU_DBG_TblDrawValue	PSTRM
UU_DBG_TblCellWrapper	Disp_PSTR_Wrapper
UU_DBG_TblDrawString	PSTRS
UU_DBG_TblDrawS16	PSTR
UU_DBG_TblDrawS32	PSTRL
UU_DBG_TblDrawU32	PSTRU
UU_DBG_DrawTableCell	Disp_PSTR
UU_VGA_WndDrawSString	Clipped_Print
UU_VGA_WndDrawString	Clipped_Print_String
UU_VGA_WndDrawChar	Clipped_Print_Character
VGA_GetFontIndex	Get_Current_Font_Style
VGA_GetFontColor1	Get_Current_Normal_Color
VGA_GetFontColor2	Get_Current_Highlight_Color
UU_VGA_GetFontColor3	Get_Current_Special_Color
UU_STR_CopyToNearLBX	String_Copy_Far_To_Near
VGA_GetVertSpacing	Get_Font_Vertical_Spacing
Trim	Trim
Print_Display_To_Bitmap	Print_Display_To_Bitmap
Print_String_To_Bitmap	Print_String_To_Bitmap
UU_LBX_DrawRightAligned	Print_Right_To_Bitmap
UU_LBX_DrawCentered	Print_Centered_To_Bitmap
UU_LBX_DrawFarString	Print_To_Bitmap_Far
UU_LBX_DrawRtAlgFar	UU_Print_Right_To_Bitmap_Far
UU_LBX_DrawCenteredFar	UU_Print_Centered_To_Bitmap_Far
UU_LBX_DrawJustifiedFar	UU_Print_Full_To_Bitmap_Far
Set_Font_Style	Set_Font_Style
Print_Character	Print_Character
VGA_DrawChar_NoAA	Print_Character_No_Alias
LBX_DrawGlyph	Print_Character_To_Bitmap
Print_Character_ASM_	Print_Character_ASM_
VGA_DrawGlyph_NoAA	Print_Character_No_Alias_ASM_
Get_String_Width	Get_String_Width
VGA_DrawPartialChar	Print_Clipped_Character
VGA_DrawPartialGlyph	Print_Clipped_Letter
Print_Paragraph	Print_Paragraph
UU_VGA_WndDrawText	UU_VGA_WndDrawText
UU_GUI_CreateHelpLinks	UU_GUI_CreateHelpLinks
VGA_TextSetup	Mark_Paragraph
VGA_GetTextHeight	Get_Paragraph_Max_Height
VGA_GetTextWidth	Get_Paragraph_Max_Width
UU_VGA_ResetFltBlocks	Reset_Paragraph_Exclusions
UU_VGA_AddFloatingBlock	Set_Paragraph_Exclusion_Area
UU_VGA_AddFltIMGSpace	UU_Set_Paragraph_Exclusion_Picture
VGA_GetFontHeight	Get_Font_Height
UU_VGA_WidestGlyph	UU_VGA_WidestGlyph
UU_LBX_DrawText	Print_Paragraph_To_Bitmap
VGA_TextDraw_Init	VGA_TextDraw_Init
Load_Palette	Load_Palette
UU_VGA_ResetShade0	Update_Remap_Gray_Palette
VGA_SetShades_Grey0	Calculate_Remap_Colors
UU_VGA_SetShades_Range	Update_Remap_Color_Range
