MAGIC	WIZARDS
_AIL_define_t_cache	_AIL_define_timbre_cache
_AIL_timbre_req	_AIL_timbre_request
_AIL_install_timbre	_AIL_install_timbre
UU_AIL_protect_timbre	UU_AIL_protect_timbre
UU_AIL_unprotect_t	UU_AIL_unprotect_t
UU_AIL_timbre_status	UU_AIL_timbre_status
_AIL_start_sequence	_AIL_start_sequence
_AIL_stop_sequence	_AIL_stop_sequence
UU_AIL_resume_seq	UU_AIL_resume_seq
_AIL_sequence_status	_AIL_sequence_status
UU_AIL_relative_volume	UU_AIL_relative_volume
UU_AIL_relative_tempo	UU_AIL_relative_tempo
UU_AIL_set_rel_volume	_AIL_set_rel_volume
UU_AIL_set_rel_tempo	UU_AIL_set_rel_tempo
UU_AIL_beat_count	UU_AIL_beat_count
UU_AIL_measure_cnt	UU_AIL_measure_cnt
UU_AIL_branch_index	UU_AIL_branch_index
UU_AIL_ctrl_value	UU_AIL_ctrl_value
UU_AIL_set_ctrl_value	UU_AIL_set_ctrl_value
UU_AIL_channel_notes	UU_AIL_channel_notes
UU_AIL_send_cv_msg	UU_AIL_send_cv_msg
UU_AIL_send_sysex_msg	UU_AIL_send_sysex_msg
UU_AIL_write_display	UU_AIL_write_display
UU_AIL_install_cb	UU_AIL_install_cb
UU_AIL_cancel_cb	UU_AIL_cancel_cb
UU_AIL_lock_channel	UU_AIL_lock_channel
UU_AIL_map_seq_channel	UU_AIL_map_seq_channel
UU_AIL_release_channel	UU_AIL_release_channel
UU_AIL_true_seq_chan	UU_AIL_true_seq_chan
UU_sub_ptr	UU_sub_ptr
_get_sample_rate	_get_sample_rate
_CB_set_vect	_CB_set_vect
_DP_detect_device	_DP_detect_device
UU_DP_index_VOC_blk	UU_DP_index_VOC_blk
UU_DP_format_sb	UU_DP_format_sb
