segment_pair	ordinal	MAGIC	WIZARDS	size_ratio	normalized_similarity	normalized_line_edit_distance	normalized_line_edit_similarity	mnemonic_similarity	mnemonic_line_edit_distance	mnemonic_line_edit_similarity	magic_instruction_count	wizards_instruction_count
seg016->seg016	5	UU_VGA_CreateColorWave	UU_VGA_CreateColorWave	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	30	30
seg017->seg017	6	Set_Outline_Color	Set_Outline_Color	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	7	7
seg020->seg020	10	UU_Set_Palette_Colors	NX_VGA_LoadDAC	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	40	40
seg022->seg022	4	Clear_Screens	Clear_Screens	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	30	30
seg022->seg022	5	Set_Random_Seed	Set_Random_Seed	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	9	9
seg022->seg022	29	UU_DBG_SetSelectSetting	UU_DBG_SetSelectSetting	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	16	16
seg028->seg030	8	UU_LBX_IMG_CReplaceRect	UU_LBX_IMG_CReplaceRect	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	92	92
seg031->seg033	4	EMM_MapNextIMGPages2	EMM_MapNextIMGPages2	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	14	14
seg033->seg035	3	Get_Pointer_Image_Number	Get_Pointer_Image_Number	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	6	6
seg033->seg035	4	Get_Pointer_Offset	Get_Pointer_Offset	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	6	6
seg033->seg035	13	Save_Mouse_State	Save_Mouse_State	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	11	11
seg033->seg035	14	Restore_Mouse_State	Restore_Mouse_State	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	9	9
seg033->seg035	25	Mouse_Buffer	Mouse_Buffer	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	8	8
seg033->seg035	26	Mouse_Buffer2	Mouse_Buffer2	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	8	8
seg033->seg035	33	Copy_Mouse_Off_To_Mouse_Back	Copy_Mouse_Off_To_Mouse_Back	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	16	16
seg033->seg035	41	UU_GUI_ClearClickBuffer	UU_GUI_ClearClickBuffer	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	12	12
seg033->seg035	42	UU_GUI_ClickBuffReset	UU_GUI_ClickBuffReset	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	2	2
seg033->seg035	43	UU_GUI_SetClickBuffVar1	UU_GUI_SetClickBuffVar1	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	2	2
seg033->seg035	44	UU_GUI_ClearBufferClick	UU_GUI_ClearBufferClick	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	11	11
seg033->seg035	46	UU_GUI_GetClickBuffVar1	UU_GUI_GetClickBuffVar1	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	2	2
seg034->seg036	2	UU_GUI_SetTimeOutP	UU_GUI_SetTimeOutP	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	9	9
seg034->seg036	3	UU_GUI_SetTimeOutN	UU_GUI_SetTimeOutN	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	9	9
seg034->seg036	4	UU_GUI_EditStart	UU_GUI_EditStart	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	6	6
seg034->seg036	8	Disable_Cancel	Disable_Cancel	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	5	5
seg034->seg036	16	UU_GUI_GetControlHeight	UU_GUI_GetControlHeight	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	36	36
seg034->seg036	20	Auto_Input	Auto_Input	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	6	6
seg034->seg036	27	UU_GUI_KeyWaitLoop	UU_GUI_KeyWaitLoop	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	10	10
seg034->seg036	64	UU_GUI_GetControlCount	Get_Field_Counter	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	6	6
seg034->seg036	68	UU_GUI_GetDelay	UU_Get_Input_Delay	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	6	6
seg034->seg036	77	Save_Auto_Function	Save_Auto_Function	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	8	8
seg034->seg036	79	Deactivate_Auto_Function	Deactivate_Auto_Function	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	5	5
stub048->stub050	1	j_Save_SAVE_GAM	j_Save_SAVE_GAM	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	1	1
stub048->stub050	2	j_Load_SAVE_GAM	j_Load_SAVE_GAM	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	1	1
