segment_pair	ordinal	MAGIC	WIZARDS	size_ratio	normalized_similarity	normalized_line_edit_distance	normalized_line_edit_similarity	mnemonic_similarity	mnemonic_line_edit_distance	mnemonic_line_edit_similarity	magic_instruction_count	wizards_instruction_count
seg034->seg036	63	UU_GUI_SetControlCount	Clear_Fields_Above	1.000000	0.860140	3	0.666667	0.853933	1	0.888889	9	9
seg033->seg035	8	CRP_MD_EnableEmu	RP_MOUSE_SetUsable	1.000000	0.860759	1	0.833333	1.000000	0	1.000000	6	6
seg002->seg002	2	Time_Passed_	Time_Passed_	1.000000	0.861878	1	0.857143	1.000000	0	1.000000	7	7
seg020->seg020	9	UU_PAL_RestorePalette	NX_VGA_RestoreDAC	1.000000	0.866142	3	0.863636	1.000000	0	1.000000	22	22
seg028->seg030	22	UU_VGA_WndDrawTransform	UU_VGA_WndDrawTransform	1.000000	0.867925	10	0.934641	1.000000	0	1.000000	150	150
seg034->seg036	67	Set_Input_Delay	Set_Input_Delay	1.000000	0.870748	3	0.700000	0.875000	1	0.888889	9	9
seg033->seg035	9	Reset_System_Mouse	Reset_System_Mouse	1.000000	0.873239	4	0.875000	1.000000	0	1.000000	31	31
seg008->seg008	2	Near_Allocate_Undo	Near_Allocate_Undo	1.000000	0.875000	2	0.750000	1.000000	0	1.000000	6	6
seg034->seg036	57	Clear_Fields	Clear_Fields	1.000000	0.875318	3	0.666667	1.000000	0	1.000000	9	9
seg008->seg008	11	Release_Block	Release_Block	1.000000	0.876897	7	0.708333	0.929825	2	0.916667	24	24
seg028->seg030	7	UU_LBX_IMG_ColorShift	UU_LBX_IMG_ColorShift	1.000000	0.880223	5	0.945652	1.000000	0	1.000000	86	86
seg033->seg035	24	MD_GetClickedBtns	Mouse_Buffer_Button	1.000000	0.881579	1	0.833333	1.000000	0	1.000000	6	6
seg013->seg013	28	UU_EMM_Data_Mark	EMMDATAH_Save_Last_Offset	1.000000	0.883721	1	0.833333	1.000000	0	1.000000	6	6
seg013->seg013	29	UU_EMM_Data_Undo	EMMDATAH_Restore_Last_Offset	1.000000	0.883721	1	0.833333	1.000000	0	1.000000	6	6
seg020->seg020	7	UU_PAL_ClearPalette	NX_VGA_ClearDAC	1.000000	0.887202	5	0.861111	1.000000	0	1.000000	31	31
seg020->seg020	11	UU_Reset_Cycle_Palette_Color	Reset_Cycle_Palette_Color	1.000000	0.888889	1	0.800000	1.000000	0	1.000000	5	5
seg028->seg030	16	FLIC_Get_CurrentFrame	FLIC_Get_CurrentFrame	1.000000	0.889571	3	0.750000	0.878049	1	0.916667	12	12
seg028->seg030	39	UU_VGA_FILEH_SetFrame	Set_File_Animation_Frame	1.000000	0.891496	3	0.727273	0.920354	1	0.909091	11	11
_AIL_->_AIL_	106	_DP_stop_d_bp	_DP_stop_d_bp	1.000000	0.895270	8	0.833333	1.000000	0	1.000000	31	31
