MAGIC	WIZARDS	magic_bytes	wizards_bytes	size_ratio
seg013p21:UU_EMM_VGAWrite_fP5	seg013p21:RP_EMM_VGAWrite_fP5	34	34	1.000000
seg013p22:UU_EMM_VGARead_fP5	seg013p22:RP_EMM_VGARead_fP5	34	34	1.000000
seg013p23:UU_EMM_VGAWrite_P5	seg013p23:RP_EMM_VGAWrite_P5	43	43	1.000000
seg013p24:UU_EMM_VGARead_P5	seg013p24:RP_EMM_VGARead_P5	43	43	1.000000
seg013p25:EMM_Map4_EMMDATAH	seg013p25:EMMDATAH_Map	19	19	1.000000
seg013p26:EMM_EMMDATAH_AllocFirst	seg013p26:EMMDATAH_Allocate_First	170	170	1.000000
seg013p27:EMM_EMMDATAH_AllocNext	seg013p27:EMMDATAH_Allocate_Next	168	168	1.000000
seg013p28:UU_EMM_Data_Mark	seg013p28:EMMDATAH_Save_Last_Offset	11	11	1.000000
seg013p29:UU_EMM_Data_Undo	seg013p29:EMMDATAH_Restore_Last_Offset	11	11	1.000000
seg013p30:RP_EMM_LBX_Load2Hnd	seg013p30:UU_EMM_LBX_Load2Hnd	355	355	1.000000
seg013p31:EMM_Set_Minimum	seg013p31:EMM_Set_Minimum	11	11	1.000000
seg013p32:EMS_BuildEmsErrStr	seg013p32:EMM_Error_Message	71	71	1.000000
seg014p1:Init_Drivers	seg014p1:Init_Drivers	157	157	1.000000
seg014p2:UU_Legacy_Startup	seg014p2:UU_Legacy_Startup	90	90	1.000000
seg014p3:Load_Font_File	seg014p3:Load_Font_File	200	200	1.000000
seg014p4:Set_Window	seg014p4:Set_Window	87	87	1.000000
seg014p5:Reset_Window	seg014p5:Reset_Window	29	29	1.000000
seg014p6:VGA_WndDrawFilldRect	seg014p6:Clipped_Fill	124	124	1.000000
seg014p7:UU_VGA_WndPutPixel	seg014p7:Clipped_Dot	62	62	1.000000
seg014p8:VGA_WndDrawLine	seg014p8:Clipped_Line	40	40	1.000000
seg014p9:UU_VGA_WndDrawPtrnLine	seg014p9:Clipped_Multi_Colored_Line	41	41	1.000000
seg014p10:VGA_WndDrawLineBase	seg014p10:Clipped_Line_Base	710	710	1.000000
seg014p11:UU_VGA_DrawBiColorRect	seg014p11:UU_Interlaced_Fill	97	97	1.000000
seg014p12:UU_VGA_DrawRect	seg014p12:UU_VGA_DrawRect	120	120	1.000000
seg014p13:UU_VGA_WndDrawRect	seg014p13:UU_VGA_WndDrawRect	116	116	1.000000
seg014p14:VGA_DrawDblRect	seg014p14:UU_VGA_DrawDblRect	187	187	1.000000
seg014p15:Gradient_Fill	seg014p15:Gradient_Fill	183	183	1.000000
seg014p16:DOS_PrintString__STUB	seg014p16:DOS_PrintString__STUB	17	17	1.000000
seg015p1:Set_Video_Mode	seg015p1:Set_Video_Mode	68	68	1.000000
seg016p1:Fill	seg016p1:Fill	260	260	1.000000
seg016p2:Dot	seg016p2:Dot	58	58	1.000000
seg016p3:Line	seg016p3:Line	265	265	1.000000
seg016p4:Multi_Colored_Line	seg016p4:Multi_Colored_Line	290	290	1.000000
seg016p5:UU_VGA_CreateColorWave	seg016p5:UU_VGA_CreateColorWave	55	55	1.000000
seg016p6:RP_VGA_DiagColumns	seg016p6:UU_VGA_DiagColumns	269	269	1.000000
seg016p7:RNG_Direct_LFSR	seg016p7:rnd_bitfiddle__1oom	56	56	1.000000
seg016p8:VGA_Shade_Rect	seg016p8:Tint_Fill	509	509	1.000000
seg016p9:VGA_Grayscale_Rect	seg016p9:Gray_Scale_Fill	557	557	1.000000
seg016p10:RP_VGA_Columns	seg016p10:UU_VGA_Columns	234	234	1.000000
seg016p11:RP_VGA_ScrambleRect	seg016p11:UU_VGA_ScrambleRect	372	372	1.000000
seg017p1:Set_Font_Style_Shadow_Down	seg017p1:Set_Font_Style_Shadow_Down	45	45	1.000000
seg017p2:VGA_SetFont_Style2	seg017p2:Set_Font_Style_Shadow_Up	45	45	1.000000
seg017p3:UU_VGA_SetFont_Style3	seg017p3:Set_Font_Style_Shadow_Heavy	45	45	1.000000
seg017p4:UU_VGA_SetFont_Style4	seg017p4:Set_Font_Style_Outline	45	45	1.000000
seg017p5:UU_VGA_SetFont_Style5	seg017p5:Set_Font_Style_Outline_Heavy	45	45	1.000000
seg017p6:Set_Outline_Color	seg017p6:Set_Outline_Color	11	11	1.000000
seg017p7:Set_Font_LF	seg017p7:Set_Font_LF	40	40	1.000000
seg017p8:UU_VGA_SetSpaceWidth	seg017p8:Set_Font_Spacing_Width	24	24	1.000000
seg017p9:UU_VGA_SetHorzSpacing	seg017p9:Set_Font_Spacing	24	24	1.000000
seg017p10:UU_VGA_BotchedFColor	seg017p10:Set_Font_Highlight_Colors	43	43	1.000000
seg017p11:Set_Font_Colors_15	seg017p11:Set_Font_Colors_15	68	68	1.000000
seg017p12:VGA_SetAAColor	seg017p12:Set_Alias_Color	119	119	1.000000
seg017p13:VGA_SaveAAColors	seg017p13:Save_Alias_Colors	110	110	1.000000
seg017p14:VGA_RestoreAAColors	seg017p14:Restore_Alias_Colors	125	125	1.000000
seg017p15:Print_Far	seg017p15:Print_Far	44	44	1.000000
seg017p16:UU_VGA_DrawCenteredFar	seg017p16:Print_Centered_Far	44	44	1.000000
seg017p17:UU_VGA_DrawRtAlgFar	seg017p17:Print_Right_Far	44	44	1.000000
seg017p18:UU_VGA_WndDrawFarString	seg017p18:Clipped_Print_Far	44	44	1.000000
